corp_code,corp_name,stock_code
134051,셀런,13240
596066,한국베트남15-1유전해외자원개발투자회사,93820
347363,에이치원바이오,52310
150226,씨앤중공업,8400
152914,FnC코오롱,1370
158839,제너비오믹스,17010
159281,케드콤,11050
210537,지엔텍홀딩스,65410
240370,동부씨엔아이,44640
247887,아이피에스,51820
268358,에스브이에이치,46240
316488,제이콤,60750
264130,옥션,43790
540304,네이쳐글로벌,88020
617299,GB블루오션베트남주식혼합형투자회사1호,94950
262275,엠씨티티코어,52210
200798,에이스앤파트너스,32930
335924,지앤디윈텍,61050
111591,인터피온반도체,14010
189343,솔로몬저축은행,7800
252588,엠트론스토리지테크놀로지,46320
267997,에스티앤아이,31800
299686,유퍼트,60670
463050,엑스로드,74140
238913,선우중공업,68770
107446,남양,3020
114303,엘지데이콤,15940
318617,LG파워콤,45820
267775,동산진흥,31960
394574,티이씨,67950
110176,한국기술산업,8320
136554,스타맥스,17050
144562,유성티에스아이,24870
370547,네오리소스,58550
242439,케이알,35950
134060,씨앤상선,790
392600,투미비티,58900
259855,코아정보시스템,39990
385451,케이에스리소스,66340
258944,세계투어,47600
798530,동양밸류오션기업인수목적,122290
451268,케이이엔지,77960
336570,사이버패스,63280
363325,산양전기,79870
148188,으뜸상호저축은행,32150
508566,국제개발,80570
133928,세신,4230
540784,골든브릿지더블유엠경매부동산일호투자회사,84160
298252,엘앤피아너스,61140
264556,에이스일렉트로닉스,38690
581000,디앤샵,90090
359094,더체인지,54120
686970,다산자기관리부동산투자회사,105380
255309,써니트렌드,35500
362380,뉴젠비아이티,54650
244862,룩소네이트,33880
297165,현대오토넷,42100
105767,LG마이크론,16990
173397,서광건설산업,1600
259606,플러스프로핏,36660
178471,한와이어리스,37020
331733,포휴먼,49690
104892,알이네트웍스,23670
647917,케이알제2호개발전문위탁관리부동산투자회사,101790
597764,미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호,94520
355821,씨티엘테크,88960
329677,이디디컴퍼니,52650
244871,케이티프리텔,32390
246383,메카포럼,35830
345499,에스피코프,48130
348140,이롬텍,45400
215107,이앤텍,47450
560991,맥스브로,88810
265263,토자이홀딩스,37700
142564,우방,13200
198572,동양매직,23020
642648,코웰이홀딩스유한공사,900020
113173,대한은박지,7480
441872,인스프리트,73130
480844,하이럭스,79340
262044,트리니티,53070
101442,카라반케이디이,32570
295875,더존디지털웨어,45380
441298,디보스,80140
263885,포네이처,45290
475532,테이크시스템즈,76090
130204,폴켐,33190
128731,유리이에스,7050
325981,에프아이투어,47370
540021,모빌탑,85680
362089,올리브나인,52970
228916,디패션,30420
114215,알덱스,25970
109648,오라바이오틱스,16160
261212,시노펙스그린테크,37320
348007,야호커뮤니케이션,59720
275808,브이케이,48760
375579,팬택앤큐리텔,63350
197324,팬텀엔터테인먼트그룹,25460
339063,삼성수산,52560
538497,동북아15호선박투자회사,84240
225140,쌈지,33260
101947,브이오산업,18890
287724,코디콤,41800
347840,제네시스엔알디,52640
504357,동북아6호선박투자회사,80410
269339,인네트,41450
634959,한국월드와이드아시아태평양특별자산1호투자회사,98150
267094,헤파호프코리아,39350
142698,휴리프,6210
350057,하이스마텍,57100
721981,삼성디지털이미징,108070
248691,씨제이인터넷,37150
335562,엠넷미디어,56200
369675,온미디어,45710
265078,유니텍전자,39040
267809,위더스기술금융,19430
314000,클라스타,37550
355292,아시아미디어홀딩스,52810
386557,아이스테이션,56010
548865,동북아21호선박투자회사,88010
221320,에이스디지텍,36550
124054,부산저축은행,7830
301486,에피밸리,68630
311298,오페스,53470
348557,액티투오,47710
265342,에이치에스씨홀딩스,38920
156734,한국고덴시,27840
208693,나리지*온,36850
128953,프로비타,14420
428792,제로원인터랙티브,69470
148744,제일화재해상보험,610
518873,동북아9호선박투자회사,83120
300779,굿이엠지,51530
397766,아이드림,66850
